,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Südtirol,Südtirol,LOC,-0.22759104,0.04901961,de,71.40000000,,3165244.00000000,A,46.50000000,11.33333000,EUROPE,Italien,WCE
Sizilien,Sizilien,LOC,-0.29719888,0.16246499,de,59.50000000,4055193-3,-1.00000000,,,,EUROPE-AFRICA,Italy,MED
Niscemi,Niscemi,LOC,-0.26167315,0.05836576,de,51.40000000,4461093-2,-1.00000000,,,,EUROPE-AFRICA,Italy,MED
Neuseeland,Neuseeland,LOC,-0.17710843,0.03614458,de,41.50000000,4041915-0,-1.00000000,,,,OCEANIA,New Zealand,NZ
Indonesien,Indonesien,LOC,-0.08247423,0.37371134,de,38.80000000,,1643084.00000000,T,-5.00000000,120.00000000,ASIA,Indonesien,SEA
Erdrutsch,Erdrutsch,LOC,0.05248619,0.16574586,de,36.20000000,,0.00000000,,,,,,
Italien,Italien,LOC,-0.00769231,0.01923077,de,26.00000000,,3175395.00000000,T,42.83333000,12.83333000,EUROPE-AFRICA,Italien,MED
Mount Maunganui,Mount Maunganui,LOC,-0.48684211,0.13157895,de,19.00000000,,-1.00000000,,,,OCEANIA,,NZ
Himalaya,Himalaya,LOC,-0.14285714,0.00000000,de,16.80000000,,1252558.00000000,A,28.00000000,84.00000000,ASIA,Tibet,TIB
Nepal,Nepal,LOC,0.08974359,0.06410256,de,15.60000000,,1282988.00000000,T,28.00000000,84.00000000,ASIA,Nepal,TIB
Ortlergebirge,Ortlergebirge,LOC,-0.16666667,0.00000000,de,14.40000000,,0.00000000,,,,,,
Stadt,Stadt,LOC,-0.30656934,0.03649635,de,13.70000000,,-1.00000000,,,,EUROPE,Germany,WCE
Bayern,Bayern,LOC,0.11475410,0.00000000,de,12.20000000,,2951839.00000000,A,49.00000000,11.50000000,EUROPE,Deutschland,WCE
Demokratischen Republik Kongo,Demokratischen Republik Kongo,LOC,0.29943503,0.45197740,de,11.80000000,,0.00000000,,,,,,
Lawinenunglück,Lawinenunglück,LOC,-0.08771930,0.00000000,de,11.40000000,,0.00000000,,,,,,
Erde,Erde,LOC,-0.29464286,0.08928571,de,11.20000000,,0.00000000,,,,,,
Petacciato,Petacciato,LOC,-0.76605505,0.00000000,de,10.90000000,7548080-3,-1.00000000,,,,EUROPE-AFRICA,Italy,MED
Brasiliens,Brasiliens,LOC,-0.18807339,0.04587156,de,10.90000000,,0.00000000,,,,,,
Molise,Molise,LOC,-0.17000000,0.00000000,de,10.00000000,4101127-2,-1.00000000,,,,EUROPE-AFRICA,Italy,MED
Vietnam,Vietnam,LOC,-0.37000000,0.00000000,de,10.00000000,4063514-4,-1.00000000,,,,ASIA,Vietnam,SEA
Stadt Niscemi,Stadt Niscemi,LOC,-0.35500000,0.00000000,de,10.00000000,,0.00000000,,,,,,
Alpen,Alpen,LOC,-0.03092784,0.00000000,de,9.70000000,,682673.00000000,A,45.50000000,24.25000000,EUROPE,Rumänien,WCE
Coltan-Mine,Coltan-Mine,LOC,0.11538462,0.27472527,de,9.10000000,,0.00000000,,,,,,
Himalaya-Gebirge,Himalaya-Gebirge,LOC,-0.53888889,0.00000000,de,9.00000000,,1252558.00000000,A,28.00000000,84.00000000,ASIA,Tibet,TIB
Philippinen,Philippinen,LOC,-0.04117647,0.05882353,de,8.50000000,,1694008.00000000,T,13.40882000,122.56155000,ASIA,Philippinen,SEA
Ibiza,Ibiza,LOC,-0.10000000,0.00000000,de,8.50000000,,6299339.00000000,A,38.87286000,1.37312000,EUROPE-AFRICA,Spanien,MED
Oberstdorf,Oberstdorf,LOC,0.00000000,0.00000000,de,8.20000000,4042985-4,6558790.00000000,P,,,EUROPE,Deutschland,WCE
Mittelmeerinsel,Mittelmeerinsel,LOC,-0.72222222,0.00000000,de,8.10000000,,0.00000000,,,,,,
Ortler-Gebirge,Ortler-Gebirge,LOC,-0.44936709,0.00000000,de,7.90000000,,0.00000000,,,,,,
Lawinenabgang,Lawinenabgang,LOC,-0.13513514,0.00000000,de,7.40000000,,0.00000000,,,,,,
Kongo,Kongo,LOC,-0.04794521,0.06849315,de,7.30000000,4032097-2,-1.00000000,,,,AFRICA,Republic of the Congo,CAF
Abgrund,Abgrund,LOC,-0.09589041,0.00000000,de,7.30000000,,0.00000000,,,,,,
Siziliens,Siziliens,LOC,-0.28767123,0.13698630,de,7.30000000,,0.00000000,,,,,,
Rubihorn,Rubihorn,LOC,-0.34931507,0.00000000,de,7.30000000,,6615470.00000000,A,47.42739500,10.28372240,EUROPE,Deutschland,WCE
Indien,Indien,LOC,-0.23287671,0.54794521,de,7.30000000,,1269750.00000000,T,22.00000000,79.00000000,ASIA,Indien,SAS
Indonesiens,Indonesiens,LOC,-0.19178082,0.00000000,de,7.30000000,,0.00000000,,,,,,
Ri,Ri,LOC,-0.15151515,0.00000000,de,6.60000000,,2328926.00000000,A,10.00000000,8.00000000,AFRICA,Nigeria,WAF
Java,Java,LOC,0.12727273,0.00000000,de,5.50000000,4028527-3,-1.00000000,,,,ASIA,Indonesia,SEA
Notstand,Notstand,LOC,0.12727273,0.00000000,de,5.50000000,,0.00000000,,,,,,
Felssturz am Rubihorn,Felssturz am Rubihorn,LOC,0.00000000,0.00000000,de,5.50000000,,0.00000000,,,,,,
Brasilien,Brasilien,LOC,0.19090909,0.27272727,de,5.50000000,4008003-1,-1.00000000,,,,SOUTH-AMERICA,Brazil,SAM
nan,nan,LOC,-0.19090909,0.27272727,de,5.50000000,,-1.00000000,,,,ASIA,Thailand,SEA
Felssturz,Felssturz,LOC,0.00000000,0.00000000,de,5.40000000,,0.00000000,,,,,,
Nepals,Nepals,LOC,0.00000000,0.00000000,de,5.00000000,,0.00000000,,,,,,
Indiens,Indiens,LOC,0.23913043,0.00000000,de,4.60000000,,-1.00000000,,,,NORTH-AMERICA,Canada,ENA
Schweiz,Schweiz,LOC,0.00000000,0.00000000,de,4.60000000,,2658434.00000000,A,47.00016000,8.01427000,EUROPE,Schweiz,WCE
Niscemi auf Sizilien,Niscemi auf Sizilien,LOC,0.00000000,1.08695652,de,4.60000000,,0.00000000,,,,,,
Ostkongo,Ostkongo,LOC,0.15217391,0.43478261,de,4.60000000,,0.00000000,,,,,,
Landes,Landes,LOC,0.00000000,0.00000000,de,4.60000000,,-1.00000000,,,,EUROPE-AFRICA,France,MED
Behördenangaben,Behördenangaben,LOC,0.00000000,0.00000000,de,4.50000000,,0.00000000,,,,,,
…,…,LOC,-0.07954545,0.11363636,de,4.40000000,,0.00000000,,,,,,
bergen,bergen,LOC,0.00000000,0.00000000,de,4.30000000,1027742-0,-1.00000000,,,,EUROPE,,NEU
Bozen,Bozen,LOC,0.00000000,0.00000000,de,4.20000000,4007901-6,-1.00000000,,,,EUROPE,Italy,WCE
Ungarn,Ungarn,LOC,0.45945946,0.00000000,de,3.70000000,4078541-5,-1.00000000,,,,EUROPE,Hungary,WCE
Mount Maunganui/Auckland,Mount Maunganui/Auckland,LOC,-0.45945946,0.00000000,de,3.70000000,,0.00000000,,,,,,
Oslo,Oslo,LOC,0.37837838,0.00000000,de,3.70000000,1013733-6,-1.00000000,,,,EUROPE,Norway,NEU
B20,B20,LOC,0.00000000,0.00000000,de,3.70000000,,-1.00000000,,,,ASIA,Taiwan,EAS
Coesfeld,Coesfeld,LOC,0.18918919,0.00000000,de,3.70000000,4010355-9,-1.00000000,,,,EUROPE,Germany,WCE
Rekordregen,Rekordregen,LOC,0.00000000,0.00000000,de,3.70000000,,0.00000000,,,,,,
Schlammlawine,Schlammlawine,LOC,-0.27027027,0.00000000,de,3.70000000,,0.00000000,,,,,,
Urlaubsinsel,Urlaubsinsel,LOC,-0.24285714,0.00000000,de,3.50000000,,0.00000000,,,,,,
Straße,Straße,LOC,0.21212121,0.00000000,de,3.30000000,4057131-2,-1.00000000,,,,EUROPE,Germany,WCE
Bergwacht,Bergwacht,LOC,0.00000000,0.93750000,de,3.20000000,,0.00000000,,,,,,
Sulden,Sulden,LOC,0.00000000,0.00000000,de,3.20000000,4058547-5,-1.00000000,,,,EUROPE,Italy,WCE
Lawinen-Drama,Lawinen-Drama,LOC,-0.64516129,0.00000000,de,3.10000000,,0.00000000,,,,,,
Deutschland,Deutschland,LOC,-0.32258065,0.00000000,de,3.10000000,,2921044.00000000,A,51.50000000,10.50000000,EUROPE,Deutschland,WCE
Bergen,Bergen,LOC,0.33333333,0.33333333,de,3.00000000,,3161732.00000000,P,60.39299000,5.32415000,EUROPE,Norwegen,NEU
Osttirol,Osttirol,LOC,0.23333333,0.00000000,de,3.00000000,,2771828.00000000,T,47.00000000,12.53333000,EUROPE,Österreich,WCE
Türkei,Türkei,LOC,0.25000000,0.11904762,de,2.80000000,,298795.00000000,A,39.00000000,35.00000000,EUROPE-AFRICA,Türkei,MED
Weißbach,Weißbach,LOC,0.00000000,0.00000000,de,2.80000000,,-1.00000000,,,,EUROPE,Germany,WCE
Toten,Toten,LOC,-0.25000000,0.00000000,de,2.80000000,4843549-1,-1.00000000,,,,EUROPE,Norway,NEU
Afghanistan,Afghanistan,LOC,-0.60714286,0.00000000,de,2.80000000,4000687-6,-1.00000000,,,,ASIA,Afghanistan,WCA
Süditalien,Süditalien,LOC,-1.07142857,0.00000000,de,2.80000000,,0.00000000,,,,,,
Pazifikstaat,Pazifikstaat,LOC,0.00000000,0.00000000,de,2.80000000,,0.00000000,,,,,,
Mexiko,Mexiko,LOC,0.00000000,0.35714286,de,2.80000000,,3996063.00000000,A,23.00000000,-102.00000000,CENTRAL-AMERICA,Mexiko,NCA
Neuseelands,Neuseelands,LOC,-0.25000000,0.35714286,de,2.80000000,,0.00000000,,,,,,
Plöckenpass,Plöckenpass,LOC,0.12500000,0.17857143,de,2.80000000,4527263-3,-1.00000000,,,,EUROPE,Austria,WCE
Los Angeles,Los Angeles,LOC,0.00000000,0.00000000,de,2.80000000,4036361-2,-1.00000000,,,,NORTH-AMERICA,United States,WNA
Bagger,Bagger,LOC,-0.25000000,0.35714286,de,2.80000000,,-1.00000000,,,,AFRICA,Liberia,WAF
Stadt Masisi,Stadt Masisi,LOC,0.00000000,0.00000000,de,2.80000000,,0.00000000,,,,,,
Schlammmassen,Schlammmassen,LOC,0.00000000,0.00000000,de,2.80000000,,0.00000000,,,,,,
Adriaküste,Adriaküste,LOC,0.85714286,0.00000000,de,2.80000000,,0.00000000,,,,,,
Toilettenblock,Toilettenblock,LOC,0.35714286,0.00000000,de,2.80000000,,0.00000000,,,,,,
Chippis,Chippis,LOC,-0.71428571,0.00000000,de,2.80000000,7708784-7,-1.00000000,,,,EUROPE,Switzerland,WCE
Mount Everest,Mount Everest,LOC,-0.25925926,0.00000000,de,2.70000000,,1283416.00000000,T,27.98791000,86.92529000,ASIA,Nepal,TIB
Italiener,Italiener,LOC,-0.25925926,0.00000000,de,2.70000000,,12216629.00000000,R,46.60614000,13.84133000,EUROPE,Österreich,WCE
Hotel-Evakuierung,Hotel-Evakuierung,LOC,0.00000000,0.00000000,de,2.70000000,,0.00000000,,,,,,
Notfälle,Notfälle,LOC,0.00000000,0.00000000,de,2.60000000,,0.00000000,,,,,,
Lawine,Lawine,LOC,0.00000000,0.00000000,de,2.60000000,,-1.00000000,,,,EUROPE-AFRICA,Morocco,MED
Nackenheim,Nackenheim,LOC,-0.29166667,0.00000000,de,2.40000000,4200807-4,-1.00000000,,,,EUROPE,Germany,WCE
Krankenhäusern,Krankenhäusern,LOC,0.00000000,0.00000000,de,2.40000000,,0.00000000,,,,,,
Leichensäcke,Leichensäcke,LOC,0.00000000,0.00000000,de,2.40000000,,0.00000000,,,,,,
Dauerregen,Dauerregen,LOC,0.00000000,0.00000000,de,2.20000000,,0.00000000,,,,,,
Kenia,Kenia,LOC,0.00000000,0.00000000,de,2.00000000,4030236-2,-1.00000000,,,,AFRICA,Kenya,SEAF
Freistaat,Freistaat,LOC,0.00000000,0.00000000,de,2.00000000,,2822542.00000000,A,50.91667000,11.00000000,EUROPE,Deutschland,WCE
Plöckenpass-Straße,Plöckenpass-Straße,LOC,0.00000000,0.00000000,de,2.00000000,,0.00000000,,,,,,
B110,B110,LOC,0.00000000,0.00000000,de,2.00000000,,0.00000000,,,,,,
